facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10004213,Sampson Correctional Institution,Clinton,Sampson,NC,28328,452,State,Medium,Open,7,Severe,High,35.0135462750486,-78.3435863756636
10001777,Sanford Correctional Center,Sanford,Lee,NC,27330,298,State,Minimum,Open,1,Minimal,Medium-High,35.4723480136471,-79.1588230054634
10001793,Scotland Correctional Institution,Laurinburg,Scotland,NC,28353,1652,State,Close,Open,1,Minimal,Medium-High,34.8117055905472,-79.3595489439731
10006582,Southern Correctional Institution - Minimum Custody Unit,Troy,Montgomery,NC,27371,200,State,Minimum,Open,1,Minimal,Medium,35.3825469852344,-79.8746090381754
10006217,Swannanoa Correctional Center For Women,Black Mountain,Buncombe,NC,28711,366,State,Minimum,Open,1,Minimal,High,35.6144203996651,-82.371308686346
10001021,Tyrrell Prison Work Farm,Columbia,Tyrrell,NC,27925,620,State,Minimum,Open,5,Major,High,35.95804502068,-76.2279789970387
10006448,Mecklenburg County Jail North - Annex,Charlotte,Mecklenburg,NC,28269,NA,County,Medium,Not Available,6,Major,High,35.314933986084,-80.8460700236475
10004174,Wake Correctional Center,Raleigh,Wake,NC,27610,414,State,Minimum,Open,1,Minimal,Medium,35.7628680047406,-78.6200969659817
10001745,Ci Rivers,Winton,Hertford,NC,27986,1450,Federal,Not Available,Open,1,Minimal,High,36.4022835476044,-76.9580260989573
10002639,Buncombe Correctional Center,Asheville,Buncombe,NC,28814,182,State,Minimum,Closed,1,Minimal,High,35.6237707000001,-82.5545782
10004153,Wilkes Correctional Center,North Wilkesboro,Wilkes,NC,28659,268,State,Minimum,Open,1,Minimal,Medium-High,36.16557043893,-81.133206983194
10001802,New Hanover Regional Juvenile Detention Center,Castle Hayne,New Hanover,NC,28429,18,State,Juvenile,Open,1,Minimal,High,34.3192505168002,-77.8912974215126
10004185,Pitt Regional Juvenile Detention Center,Greenville,Pitt,NC,27834,18,State,Juvenile,Open,1,Minimal,High,35.6364443565169,-77.3646655639882
10001768,Wake Regional Juvenile Detention Center,Raleigh,Wake,NC,27610,24,State,Juvenile,Open,1,Minimal,High,35.7889729811759,-78.5724709921388
